#New xsec file, equivalent to XSection-MC15-13TeV.data at the moment of creation but with amcatnlopythia8 among showering algorithms
# svn co $SVNOFF/PhysicsAnalysis/SUSYPhys/SUSYTools/trunk, taken on 02.06.2015
# cat susy_crosssections_13TeV.txt|awk '{if ($1 != "" && $1 != "#") { s=$3*$5 ; print $1 "   " s "   " $4 " "}else{print $0}}'
# cross-sections are in pb

################################################################################################################   0
# BSM tttt ttZ' signals (s+t channel processes), ct=3, theta=0.79
411351 339.189 1.1328 pythia8
411352  76.269 1.1332 pythia8
411353 321.646 1.1394 pythia8
411354 332.243 1.1391 pythia8
411355  77.666 1.1393 pythia8
411356 319.403 1.1335 pythia8
411357 336.056 1.1334 pythia8
411358  79.373 1.1331 pythia8

## Powheg+Herwig7, hdamp=1.5mt, H7UE tune
410525   397.105   1.1391   herwigpp
410527   76.93     1.1393   herwigpp
410528   28.09     1.1392   herwigpp
410529   5.37      1.1393   herwigpp
# allhad samples, without noC W decays
410526   249.81    1.1390   herwigpp
410530   249.88    1.1390   herwigpp
# allhad samples, noC W decays
410536   83.268    1.1390   herwigpp
410537   83.251    1.1390   herwigpp

# new aMC@NLO+P8 samples - Xsec to be checked, only 410225 from PMG central page, others extrapolated from AMI
# same K-factor for all
410225   389.221   1.1693 amcatnlopythia8
410226   76.084    1.1693 amcatnlopythia8
410227   321.64    1.1693 amcatnlopythia8
410274   23.093    1.1693 amcatnlopythia8
410275   4.366     1.1693 amcatnlopythia8
# 410442 xsec from AMI,
# there is no kfactor, so take it from the same process of 410226
410442   76.254	   1.1693 amcatnlopythia8

# PowhegPythia8 mass-variation samples
410037   405.5373  1.1949   pythia
410038   389.0943  1.1949   pythia
410039   368.4626  1.1949   pythia
410040   353.8235  1.1949   pythia
410041   330.9295  1.1949   pythia
410042   340.1290  1.1947   pythia
410043   326.4065  1.1947   pythia
410044   309.0983  1.1947   pythia
410045   296.8128  1.1947   pythia
410046   277.6722  1.1947   pythia

### more mass variations - see ANALYSISTO-982
411367 437.10 1.1407 pythia8
411368 361.45 1.1381 pythia8
410498 376.23 1.1385 pythia8
410495 419.47 1.1399 pythia8

### 171.5 and 173.5 GeV top mass ttbar samples
### cross-section for 173.5 = 809.383614848
### cross-section for 171.5 = 854.865314764
411292 328.9672 1.1393 pythia8
411293 311.5659 1.1389 pythia8
411294  79.062  1.1393 pythia8
411295  74.875  1.1389 pythia8

#mtt-sliced SM ttbar samples. Jiahang's emperical cross-sections
301528   3.3692    1.1949   pythia
301529   1.3992    1.1949   pythia
301530   0.6265    1.1949   pythia
301531   0.382866  1.1949   pythia
301532   0.229719  1.1949   pythia

#mtt-sliced all-had SM ttbar samples [13 July 2016]
# xsection from: https://twiki.cern.ch/twiki/bin/view/AtlasProtected/XsecSummaryTTbarSliced
303722   2.7557575  1.0 pythia
303723   1.13765616 1.0 pythia
303724   0.50336706 1.0 pythia
303725   0.30495312 1.0 pythia
303726   0.18032616 1.0 pythia


#ht-sliced SM ttbar samples PowhegPythia6 (l+jets)
407009 15.95806 1.1949 pythia
407010 2.23069 1.1949 pythia
407011 0.39337 1.1949 pythia

# Sherpa samples
410021   78.73     1.17   sherpa21
410022   157.54    1.17   sherpa21
410023   157.35    1.17   sherpa21
410024   315.99    1.17   sherpa21
# new Sherpa samples
410186   330.19    1.1484   sherpa
410187   158.94    1.1484   sherpa
410188   158.82    1.1484   sherpa
410189    76.333   1.1484   sherpa
# new Sherpa 2.2.1 samples
410249   330.04    1.1484   sherpa
410250   158.94    1.1484   sherpa
410251   158.99    1.1484   sherpa
410252   76.317    1.1484   sherpa
# new Sherpa 2.2.1 samples - b-filtered
### Xsections to be doulbe-checked
410281   12.8    1.1484   sherpa
410282   12.8    1.1484   sherpa
410283   5.95    1.1484   sherpa

# Sherpa ttbar+bbbar
### WARNING: cross-sections are unclear!!
410051  0.31505      1.10      sherpa21

# New Sherpa ttbar+bbbar
### WARNING: cross-sections are just taken from AMI, no K-factor
410323  5.7314    1.0       sherpa
410324  5.7283    1.0       sherpa
410325  2.7549    1.0       sherpa

# Sherpa 2.2.1 ttbb allhad sample
410369  11.911     1.0    sherpa

# b-filter
410120 	 24.1063   1.1949   pythia
410121 	  4.4954   1.1949   pythia

# Madgraph+Pythia8 SM ttbar+jets
407200   215.2902  1.8743   pythia8
407201   15.02793  1.8743   pythia8
407202   4.969761  1.8743   pythia8
407203   4.076286  1.8743   pythia8
407204   1.614472  1.8743   pythia8


# First samples using Herwig7 - t-channel, ttbar, Wt
### warning: dummy cross-sections!!
410228  0          0    herwigpp
410229  0          0    herwigpp
410230  0          0    herwigpp
410232  0          0    herwigpp
410233  0          0    herwigpp
410234  0          0    pythia8
410237  0          0    herwigpp
410238  0          0    herwigpp


## https://twiki.cern.ch/twiki/bin/view/AtlasProtected/CrossSectionNLOttV
## ttV, ttWW
410066   0.17656      1.32   pythia8  # ttW,0j
410067   0.14062      1.32   pythia8  # ttW,1j
410068   0.1368       1.32   pythia8  # ttW,2j
410069   0.018103     1.20   pythia8  # ttZ on-shell only
410070   0.030629     1.20   pythia8  # ttZ on-shell only
410081   0.0080975    1.2231 pythia8  # ttWW
# ttgamma - see ANALYSISTO-136 - see ANALYSISTO-326
410082   2.982        1.9   pythia8
410083   0.8471       1.47   pythia8
410084   0.3359       1.47   pythia8
410389   4.6242       1.16   pythia8

### EWttWsm sample - see ANALYSISTO-904
412123 0.057737  1.0   amcatnlopythia8 
# ANALYSISTO-952
412124 0.10976   1.0   amcatnlopythia8
412125 0.081802  1.0   amcatnlopythia8
412126 0.094414  1.0   amcatnlopythia8
412127 0.07143   1.0   amcatnlopythia8
412128 0.069764  1.0   amcatnlopythia8
412129 0.057939  1.0   amcatnlopythia8

## ttgamma var3c varied samples - see ANALYSISTO-812
410404   4.6243       1.16   pythia8
410405   4.6242       1.16   pythia8

### ttgamma Powheg+Herwig sample - see ANALYSISTO-800
410395  4.6236   1.16    herwigpp

410111   0.0096235    1.51   pythia8    # ttee,0j
410112   0.017344     1.51   pythia8    # ttee,1j
410113   0.0096462    1.51   pythia8    # ttmumu,0j
410114   0.017361     1.51   pythia8    # ttmumu,1j
410115   0.0098874    1.51   pythia8    # tttautau,0j
410116   0.017790     1.51   pythia8    # tttautau,1j
410073   0.17321      1.47   pythia8    # ttZ, only for Z->nunu
410074   0.16533      1.47   pythia8    # ttZ, only for Z->nunu
410075   0.17427      1.47   pythia8    # ttZ, only for Z->nunu

# ttV Sherpa
410142   0.11309      1.09   sherpa
410143   0.68810      1.10   sherpa
410144   0.57729      1.04   sherpa


# ttV aMcatNLO+Pythia8 - in agreement with YR4 https://twiki.cern.ch/twiki/bin/view/AtlasProtected/CrossSectionNLOttV
410155   0.54830      1.10      amcatnlopythia8 # ttW
410156   0.15499      1.11      amcatnlopythia8 # ttZnunu
410157   0.52771      1.11      amcatnlopythia8 # ttZqq
410218   0.036888     1.12      amcatnlopythia8 # ttee
410219   0.036895     1.12      amcatnlopythia8 # ttmumu
410220   0.036599     1.12      amcatnlopythia8 # tttautau

# ttV aMcatNLO+Pythia8 - A14 variations
### WARNING: Xsections to be checked - using the same as nominal A14 above
410376   0.54830      1.10      amcatnlopythia8 # ttW
410377   0.54830      1.10      amcatnlopythia8 # ttW
410378   0.15499      1.11      amcatnlopythia8 # ttZnunu
410379   0.15499      1.11      amcatnlopythia8 # ttZnunu
410380   0.52771      1.11      amcatnlopythia8 # ttZqq
410381   0.52771      1.11      amcatnlopythia8 # ttZqq
410370   0.036888     1.12      amcatnlopythia8 # ttee
410371   0.036888     1.12      amcatnlopythia8 # ttee
410372   0.036895     1.12      amcatnlopythia8 # ttmumu
410373   0.036895     1.12      amcatnlopythia8 # ttmumu
410374   0.036599     1.12      amcatnlopythia8 # tttautau
410375   0.036599     1.12      amcatnlopythia8 # tttautau

# low mass ttll and top rare decay - ANALYSISTO-350
410276   0.0184    1.0   amcatnlopythia8
410277   0.0184    1.0   amcatnlopythia8
410278   0.00197   1.0   amcatnlopythia8
410397   0.1874    1.0   pythia8
410398   0.1873    1.0   pythia8
410399   0.01885   1.0   pythia8

# POWHEG ttbar with hdamp=mtop
410392    379.242475     1.0   pythia8
410393	  379.242475	 1.0   pythia8


# 4 tops, 3 tops SM
410080   0.0091622    1.0042  pythia8
304014   0.0016398    1.0     pythia8

# tZ
## MG5+P6, inclusive
410050   0.24013      1.0   pythia
## MG5+P6, trilepton without taus
410049   0.0090636    1.0   pythia
## MG5+P8, inclusive
410560   0.24037      1.0   pythia8
## MG5+P8, trilepton - Xsection value to be checked!!
410550   0.020738    1.0   pythia8

# ttbar Powheg+Pythia6 3D slices
### warning: dummy cross-sections!!
426072   0      0      pythia
426075   0      0      pythia
426076   0      0      pythia
426077   0      0      pythia
426078   0      0      pythia
426082   0      0      pythia
426085   0      0      pythia
426086   0      0      pythia
426087   0      0      pythia
426088   0      0      pythia

# ttbar+jets Madgraph+Pythia8
### warning: dummy cross-sections!!
343852   0      0      pythia8
343853   0      0      pythia8
343854   0      0      pythia8

#ttbar+at least 3 leptons POWHEG+Pythia8 hdamp=1.5*mtop, A14 tune
410544  17.901578   1   pythia8

################################################################################################################   0
# single top

410011   43.739   1.0094   pythia
410012   25.778   1.0193   pythia
410013   34.009   1.054    pythia
410014   33.989   1.054    pythia
410015   3.5835   1.054    pythia
410016   3.5814   1.054    pythia
410025   2.0517   1.005   pythia
410026   1.2615   1.022   pythia

#POWHEG+Pythia6 Wt production (top), HT filtered

407018   3.0085  1.054  pythia
407020   3.0051  1.054  pythia



# Powheg+Pythia t-channel single-top mass-variation samples
### warning: dummy cross-sections!!
410240  0          0    pythia
410241  0          0    pythia
410242  0          0    pythia
410243  0          0    pythia

# Single Top
# taken from CentralMC15ProductionList
410065   3.409    1.054   pythia
410064   3.4133   1.054   pythia
410062   32.384   1.054   pythia
410063   32.357   1.054   pythia
410099 	 34.917	  1.027   pythia
410100 	 33.407   1.073   pythia
410101 	 34.893   1.027   pythia
410102 	 33.388   1.073   pythia
410103 	 3.679 	  1.027   pythia
410104 	 3.5201   1.073   pythia
410105 	 3.6767   1.027   pythia
410106 	 3.5181   1.073   pythia
# FIXME Wt aMCatNLO+Hpp - K-factor may need to be checked....
410165   73.588   1.0     herwigpp
407019   0.383751 1.054   pythia
407021   0.382730 1.054   pythia

# aMcAtNlo+Pythia8+EvtGen single top production for FCNC
410650 48.374 1.0 amcatnlopythia8
410651 48.332 1.0 amcatnlopythia8
410652 6.903 1.0 amcatnlopythia8
410653 6.911 1.0 amcatnlopythia8

410017   43.739   1.0094   pythia
410018   43.739   1.0094   pythia
410019   25.778   1.0193   pythia
410020   25.778   1.0193   pythia

410047 43.614     1.0123   herwigpp
410048 25.744     1.0206   herwigpp

410107  2.0755    0.9935       pythia
410108  2.0331    1.0142       pythia
410109  1.2753    1.0109       pythia
410110  1.2514    1.0302       pythia
410141  68.768    1.0241       herwigpp
410145  4.0	  0.9443       herwigpp #exactly 4.0??
410146  4.0	  0.9437       herwigpp #exactly 4.0??
410147  34.0	  1.0543       herwigpp #exactly 34.0??
410148  34.0	  1.0537       herwigpp #exactly 34.0??
410151  0.19748   1.2160       pythia # use 410050 cross-section
410152  0.29866   0.80402      pythia # use 410050 cross-section
410153  0.0074284 1.22012      pythia # use 410049 cross-section
410154  0.011252  0.80551      pythia # use 410049 cross-section
410164  7.8714    0.9594   herwigpp
410215  0.015558  1.	   amcatnlopythia8    # no k-factor yet
410217  0.015483  1.	   herwigpp   # no k-factor yet

### Powheg v2 + Pythia8 Single Top
# t-channel
410642  36.993  1.191  pythia8
410643  22.174  1.183  pythia8
# s-channel
410644  2.0268  1.015  pythia8
410645  1.2676  1.015  pythia8
# tW inclusive
410646  37.936  0.945  pythia8
410647  37.906  0.946  pythia8
410654  36.925  0.971  pythia8
410655  37.662  0.952  pythia8

# All-Had VJets
304307   29.504      1.0  sherpa21
304308   2.1559      1.0  sherpa21
304309   0.046461    1.0  sherpa21
304707   12.575      1.0  sherpa21
304708   0.9035      1.0  sherpa21
304709   0.018584    1.0  sherpa21
304824   197.94      1.0  pythia8
304623   23.146      1.0  pythia8
304624   1.4823      1.0  pythia8
304625   0.27757     1.0  pythia8
304626   0.035315    1.0  pythia8
304627   0.0038008   1.0  pythia8
304673   13.25       1.0  herwigpp
304674   0.92071     1.0  herwigpp
304675   0.1753      1.0  herwigpp
304676   0.02179     1.0  herwigpp
304677   0.0022739   1.0  herwigpp
304825   87.002      1.0  pythia8
304628   10.455      1.0  pythia8
304629   0.67488     1.0  pythia8
304630   0.12507     1.0  pythia8
304631   0.015797    1.0  pythia8
304632   0.001705    1.0  pythia8
304678   5.4723      1.0  herwigpp
304679   0.3703      1.0  herwigpp
304680   0.070598    1.0  herwigpp
304681   0.0088535   1.0  herwigpp
304682   0.00090013  1.0  herwigpp


################################################################################################################   0
# Powheg inclusive W https://twiki.cern.ch/twiki/bin/view/AtlasProtected/MC15WjetsPowPy8InclSamplesPMG

361100   11306.0    1.01724   pythia8
361101   11306.0    1.01724   pythia8
361102   11306.0    1.01724   pythia8
361103   8282.6     1.03579   pythia8
361104   8282.6     1.03579   pythia8
361105   8282.6     1.03579   pythia8

################################################################################################################   0
# Powheg inclusive Z, k-factor from here: https://twiki.cern.ch/twiki/bin/view/AtlasProtected/MC15ZjetsPowPy8InclSamplesPMG

361106	 1901.2000 1.026   pythia8
361107	 1901.2000 1.026   pythia8
361108	 1901.2000 1.026   pythia8

################################################################################################################   0
# Sherpa 2.1 W + jets
# NLO xsec from Sherpa
# https://twiki.cern.ch/twiki/pub/AtlasProtected/CentralMC15ProductionList/XSections_13TeV_e3651_e4133.txt

361300	   19060.27	0.9083   sherpa21
361301	   1036.0748	0.9083   sherpa21
361302	   1277.0274	0.9083   sherpa21
361303	   460.55184	0.9083   sherpa21
361304	   111.3728	0.9083   sherpa21
361305	   60.982936	0.9083   sherpa21
361306	   61.569984	0.9083   sherpa21
361307	   18.456576	0.9083   sherpa21
361308	   10.147512	0.9083   sherpa21
361309	   3.7430211	0.9083   sherpa21
361310	   1.270087	0.9083   sherpa21
361311	   0.7551558	0.9083   sherpa21
361312	   0.21938574	0.9083   sherpa21
361313	   0.0828002	0.9083   sherpa21
361314	   0.05545526	0.9083   sherpa21
361315	   0.038058824	0.9083   sherpa21
361316	   0.013239976	0.9083   sherpa21
361317	   0.009862805	0.9083   sherpa21
361318	   0.0040615302	0.9083   sherpa21
361319	   0.0015777125	0.9083   sherpa21
361320	   0.0011266528	0.9083   sherpa21
361321	   0.00001597	0.9083   sherpa21
361322	   0.00000694	0.9083   sherpa21
361323	   4.911173E-006	0.9083   sherpa21
361324	   19060.27		0.9083   sherpa21
361325	   1036.0748		0.9083   sherpa21
361326	   1277.0274		0.9083   sherpa21
361327	   460.55184		0.9083   sherpa21
361328	   111.3728		0.9083   sherpa21
361329	   60.982936		0.9083   sherpa21
361330	   61.569984		0.9083   sherpa21
361331	   18.456576		0.9083   sherpa21
361332	   10.147512		0.9083   sherpa21
361333	   3.7430211		0.9083   sherpa21
361334	   1.270087		0.9083   sherpa21
361335	   0.7551558		0.9083   sherpa21
361336	   0.21938574		0.9083   sherpa21
361337	   0.0828002		0.9083   sherpa21
361338	   0.05545526		0.9083   sherpa21
361339	   0.038058824		0.9083   sherpa21
361340	   0.013239976		0.9083   sherpa21
361341	   0.009862805		0.9083   sherpa21
361342	   0.0040615302		0.9083   sherpa21
361343	   0.0015777125		0.9083   sherpa21
361344	   0.0011266528		0.9083   sherpa21
361345	   0.00001597		0.9083   sherpa21
361346	   0.00000694		0.9083   sherpa21
361347	   4.911173E-006	0.9083   sherpa21
361348	   19060.27		0.9083   sherpa21
361349	   1036.0748		0.9083   sherpa21
361350	   1277.0274		0.9083   sherpa21
361351	   460.55184		0.9083   sherpa21
361352	   111.3728		0.9083   sherpa21
361353	   60.982936		0.9083   sherpa21
361354	   61.569984		0.9083   sherpa21
361355	   18.456576		0.9083   sherpa21
361356	   10.147512		0.9083   sherpa21
361357	   3.7430211		0.9083   sherpa21
361358	   1.270087		0.9083   sherpa21
361359	   0.7551558		0.9083   sherpa21
361360	   0.21938574		0.9083   sherpa21
361361	   0.0828002		0.9083   sherpa21
361362	   0.05545526		0.9083   sherpa21
361363	   0.038058824		0.9083   sherpa21
361364	   0.013239976		0.9083   sherpa21
361365	   0.009862805		0.9083   sherpa21
361366	   0.0040615302		0.9083   sherpa21
361367	   0.0015777125		0.9083   sherpa21
361368	   0.0011266528		0.9083   sherpa21
361369	   0.00001597		0.9083   sherpa21
361370	   0.00000694		0.9083   sherpa21
361371	   4.911173E-006	0.9083   sherpa21

################################################################################################################
## Sherpa W+jets systematic samples
### warning: dummy cross-sections!!

362496 0 0 sherpa21
362497 0 0 sherpa21
362498 0 0 sherpa21
362499 0 0 sherpa21
362500 0 0 sherpa21
362501 0 0 sherpa21
362502 0 0 sherpa21
362503 0 0 sherpa21
362504 0 0 sherpa21
362505 0 0 sherpa21
362506 0 0 sherpa21
362507 0 0 sherpa21
362508 0 0 sherpa21
362509 0 0 sherpa21
362510 0 0 sherpa21
362511 0 0 sherpa21
362512 0 0 sherpa21
362513 0 0 sherpa21
362514 0 0 sherpa21
362515 0 0 sherpa21
362516 0 0 sherpa21
362517 0 0 sherpa21
362518 0 0 sherpa21
362519 0 0 sherpa21
362520 0 0 sherpa21
362521 0 0 sherpa21
362522 0 0 sherpa21
362523 0 0 sherpa21
362524 0 0 sherpa21
362525 0 0 sherpa21
362526 0 0 sherpa21
362527 0 0 sherpa21
362528 0 0 sherpa21
362529 0 0 sherpa21
362530 0 0 sherpa21
362531 0 0 sherpa21
362532 0 0 sherpa21
362533 0 0 sherpa21
362534 0 0 sherpa21
362535 0 0 sherpa21
362536 0 0 sherpa21
362537 0 0 sherpa21
362538 0 0 sherpa21
362539 0 0 sherpa21
362540 0 0 sherpa21
362541 0 0 sherpa21
362542 0 0 sherpa21
362543 0 0 sherpa21
362544 0 0 sherpa21
362545 0 0 sherpa21
362546 0 0 sherpa21
362547 0 0 sherpa21
362548 0 0 sherpa21
362549 0 0 sherpa21
362550 0 0 sherpa21
362551 0 0 sherpa21
362552 0 0 sherpa21
362553 0 0 sherpa21
362554 0 0 sherpa21
362555 0 0 sherpa21
362556 0 0 sherpa21
362557 0 0 sherpa21
362558 0 0 sherpa21
362559 0 0 sherpa21
362560 0 0 sherpa21
362561 0 0 sherpa21
362562 0 0 sherpa21
362563 0 0 sherpa21
362564 0 0 sherpa21
362565 0 0 sherpa21
362566 0 0 sherpa21
362567 0 0 sherpa21
362568 0 0 sherpa21
362569 0 0 sherpa21
362570 0 0 sherpa21
362571 0 0 sherpa21
362572 0 0 sherpa21
362573 0 0 sherpa21
362574 0 0 sherpa21
362575 0 0 sherpa21
362384 0 0 sherpa21
362385 0 0 sherpa21
362386 0 0 sherpa21
362387 0 0 sherpa21
362388 0 0 sherpa21
362389 0 0 sherpa21
362390 0 0 sherpa21
362391 0 0 sherpa21
362392 0 0 sherpa21
362393 0 0 sherpa21
362394 0 0 sherpa21
362395 0 0 sherpa21
362396 0 0 sherpa21
362397 0 0 sherpa21
362398 0 0 sherpa21
362399 0 0 sherpa21
362400 0 0 sherpa21
362401 0 0 sherpa21
362402 0 0 sherpa21
362403 0 0 sherpa21
362404 0 0 sherpa21
362405 0 0 sherpa21
362406 0 0 sherpa21
362407 0 0 sherpa21
362408 0 0 sherpa21
362409 0 0 sherpa21
362410 0 0 sherpa21
362411 0 0 sherpa21
362412 0 0 sherpa21
362413 0 0 sherpa21
362414 0 0 sherpa21
362415 0 0 sherpa21
362416 0 0 sherpa21
362417 0 0 sherpa21
362418 0 0 sherpa21
362419 0 0 sherpa21
362420 0 0 sherpa21
362421 0 0 sherpa21
362422 0 0 sherpa21
362423 0 0 sherpa21
362424 0 0 sherpa21
362425 0 0 sherpa21
362426 0 0 sherpa21
362427 0 0 sherpa21
362428 0 0 sherpa21
362429 0 0 sherpa21
362430 0 0 sherpa21
362431 0 0 sherpa21
362432 0 0 sherpa21
362433 0 0 sherpa21
362434 0 0 sherpa21
362435 0 0 sherpa21
362436 0 0 sherpa21
362437 0 0 sherpa21
362438 0 0 sherpa21
362439 0 0 sherpa21
362440 0 0 sherpa21
362441 0 0 sherpa21
362442 0 0 sherpa21
362443 0 0 sherpa21
362444 0 0 sherpa21
362445 0 0 sherpa21
362446 0 0 sherpa21
362447 0 0 sherpa21
362448 0 0 sherpa21
362449 0 0 sherpa21
362450 0 0 sherpa21
362451 0 0 sherpa21
362452 0 0 sherpa21
362453 0 0 sherpa21
362454 0 0 sherpa21
362455 0 0 sherpa21
362456 0 0 sherpa21
362457 0 0 sherpa21
362458 0 0 sherpa21
362459 0 0 sherpa21
362460 0 0 sherpa21
362461 0 0 sherpa21
362462 0 0 sherpa21
362463 0 0 sherpa21
362464 0 0 sherpa21
362465 0 0 sherpa21
362466 0 0 sherpa21
362467 0 0 sherpa21
362468 0 0 sherpa21
362469 0 0 sherpa21
362470 0 0 sherpa21
362471 0 0 sherpa21
362472 0 0 sherpa21
362473 0 0 sherpa21
362474 0 0 sherpa21
362475 0 0 sherpa21
362476 0 0 sherpa21
362477 0 0 sherpa21
362478 0 0 sherpa21
362479 0 0 sherpa21
362480 0 0 sherpa21
362481 0 0 sherpa21
362482 0 0 sherpa21
362483 0 0 sherpa21
362484 0 0 sherpa21
362485 0 0 sherpa21
362486 0 0 sherpa21
362487 0 0 sherpa21
362488 0 0 sherpa21
362489 0 0 sherpa21
362490 0 0 sherpa21
362491 0 0 sherpa21
362492 0 0 sherpa21
362493 0 0 sherpa21
362494 0 0 sherpa21
362495 0 0 sherpa21

################################################################################################################
# Sherpa 2.2 W+jets
363331   15821.9692868  	1.0     sherpa
363332   2683.83259267  	1.0     sherpa
363333   909.565023     1.0       sherpa
363334   375.759077047  	1.0     sherpa
363335   144.539591316  	1.0     sherpa
363336   49.107324606  	1.0     sherpa
363337   50.173358226  	1.0     sherpa
363338   22.558816959  	1.0     sherpa
363339   8.611129318  	1.0     sherpa
363340   3.450438494  	1.0     sherpa
363341   1.687956502  	1.0     sherpa
363342   0.711433732  	1.0     sherpa
363343   0.209886778  	1.0     sherpa
363344   0.108804181  	1.0     sherpa
363345   0.048001365  	1.0     sherpa
363346   0.039884689  	1.0     sherpa
363347   0.01927425  	1.0     sherpa
363348   0.009455976  	1.0     sherpa
363349   0.004868065  	1.0     sherpa
363350   0.00251029  	1.0     sherpa
363351   0.001236195  	1.0     sherpa
363352   1.4245e-05  	1.0     sherpa
363353   8.707e-06  	1.0     sherpa
363354   5.143e-06  	1.0     sherpa
363436   15795.1948618  	1.0     sherpa
363437   2675.17332482  	1.0     sherpa
363438   907.616822112  	1.0     sherpa
363439   377.749548487  	1.0     sherpa
363440   145.131941493  	1.0     sherpa
363441   49.820615432  	1.0     sherpa
363442   50.117877494  	1.0     sherpa
363443   22.617359448  	1.0     sherpa
363444   8.646363179  	1.0     sherpa
363445   3.691386319  	1.0     sherpa
363446   1.688434939  	1.0     sherpa
363447   0.730840739  	1.0     sherpa
363448   0.213331248  	1.0     sherpa
363449   0.107132134  	1.0     sherpa
363450   0.050487154  	1.0     sherpa
363451   0.037111165  	1.0     sherpa
363452   0.018196255  	1.0     sherpa
363453   0.009428206  	1.0     sherpa
363454   0.00478857  	1.0     sherpa
363455   0.002494854  	1.0     sherpa
363456   0.001284408  	1.0     sherpa
363457   1.2348e-05  	1.0     sherpa
363458   9.812e-06  	1.0     sherpa
363459   5.314e-06  	1.0     sherpa
363460   15813.6777927  	1.0     sherpa
363461   2684.61495225  	1.0     sherpa
363462   912.150989719  	1.0     sherpa
363463   376.41531567  	1.0     sherpa
363464   146.400460335  	1.0     sherpa
363465   49.551285758  	1.0     sherpa
